"","date","song","artist","image_url","last_week","weeks_on_chart","weeks_at_1"
"1","2000-01-01","Smooth","Santana Featuring Rob Thomas","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","23","11"
"2","2000-01-08","Smooth","Santana Featuring Rob Thomas","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","24","12"
"3","2000-01-15","What A Girl Wants","Christina Aguilera","https://charts-static.billboard.com/img/1998/07/christina-aguilera-l5y-180x180.jpg","11","8","1"
"4","2000-01-22","What A Girl Wants","Christina Aguilera","https://charts-static.billboard.com/img/1998/07/christina-aguilera-l5y-180x180.jpg","1","9","2"
"5","2000-01-29","I Knew I Loved You","Savage Garden","https://charts-static.billboard.com/img/1999/10/savage-garden-l4s-180x180.jpg","2","15","1"
"6","2000-02-05","I Knew I Loved You","Savage Garden","https://charts-static.billboard.com/img/1999/10/savage-garden-l4s-180x180.jpg","1","16","2"
"7","2000-02-12","I Knew I Loved You","Savage Garden","https://charts-static.billboard.com/img/1999/10/savage-garden-l4s-180x180.jpg","1","17","3"
"8","2000-02-19","Thank God I Found You","Mariah Carey Featuring Joe & 98 Degrees","https://charts-static.billboard.com/img/1990/06/mariah-carey-x65-180x180.jpg","2","11","1"
"9","2000-02-26","I Knew I Loved You","Savage Garden","https://charts-static.billboard.com/img/1999/10/savage-garden-l4s-180x180.jpg","2","19","4"
"10","2000-03-04","Amazed","Lonestar","https://charts-static.billboard.com/img/1999/04/lonestar-2an-106x106.jpg","3","31","1"
"11","2000-03-11","Amazed","Lonestar","https://charts-static.billboard.com/img/1999/04/lonestar-2an-106x106.jpg","1","32","2"
"12","2000-03-18","Say My Name","Destiny's Child","https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg","14","13","1"
"13","2000-03-25","Say My Name","Destiny's Child","https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg","1","14","2"
"14","2000-04-01","Say My Name","Destiny's Child","https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg","1","15","3"
"15","2000-04-08","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","2","9","1"
"16","2000-04-15","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","10","2"
"17","2000-04-22","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","11","3"
"18","2000-04-29","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","12","4"
"19","2000-05-06","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","13","5"
"20","2000-05-13","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","14","6"
"21","2000-05-20","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","15","7"
"22","2000-05-27","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","16","8"
"23","2000-06-03","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","17","9"
"24","2000-06-10","Maria Maria","Santana Featuring The Product G&B","https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg","1","18","10"
"25","2000-06-17","Try Again","Aaliyah","https://charts-static.billboard.com/img/2000/03/aaliyah-dzg-tryagain-gn1-180x180.jpg","6","14","1"
"26","2000-06-24","Be With You","Enrique Iglesias","https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg","4","13","1"
"27","2000-07-01","Be With You","Enrique Iglesias","https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg","1","14","2"
"28","2000-07-08","Be With You","Enrique Iglesias","https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg","1","15","3"
"29","2000-07-15","Everything You Want","Vertical Horizon","https://charts-static.billboard.com/img/1999/11/vertical-horizon-dd0-106x106.jpg","6","26","1"
