date,headline,print_headline,abstract,snippet,lead_paragraph
2004-01-06,Questions Seen On Seed Prices Set in the 90's,Questions Seen On Seed Prices Set in the 90's,"Senior executives at two biggest seed companies in world reportedly met repeatedly in mid- to late 1990's and agreed to charge higher prices for genetically modified seeds; Monsanto Co and Pioneer Hi-Bred International Inc acknowledge meetings, but Monsanto says they were legitimate negotiations about changes to existing licensing agreement, not illegal price fixing; former and current executives of major seed companies, along with company documents, show Monsanto tried to control market for genetically altered corn and soybean seeds; Monsanto spent billions in 1980's to invent specialized seeds and sold rights to make them to big seed companies like Pioneer; together, Pioneer and Monsanto control 60 percent of nation's $5 billion market for corn and soybean seeds; dozen legal experts say if goal of their talks was to limit competition on prices, or even just to coordinate prices, it would be violation of federal antitrust law; companies found to have violated that law could be subject to criminal fines and civil class-action litigation; photos; drawings (L)","Senior executives at two biggest seed companies in world reportedly met repeatedly in mid- to late 1990's and agreed to charge higher prices for genetically modified seeds; Monsanto Co and Pioneer Hi-Bred International Inc acknowledge meetings, bu...","Senior executives at the two biggest seed companies in the world met repeatedly in the mid- to late 1990's and agreed to charge higher prices for genetically modified seeds, according to interviews with former executives from both companies and to court and other documents."
2004-01-07,INDIANS IN DEAL WITH PAKISTANIS FOR PEACE TALKS,INDIANS IN DEAL WITH PAKISTANIS FOR PEACE TALKS,"India and Pakistan agree to restart formal peace talks on all issues, including Kashmir; Pakistan says it will not permit its territory to be used to support terrorism, first such direct assurance to India in more than half century of conflict; agreement follows Prime Min Atal Bihari Vajpayee's meeting with Pakistani Pres Pervez Musharraf and other less publicized negotiations, some during regional summit meeting in Islamabad; photos, one of Vajpayee with Pakistani Prime Min Mir Zafarullah Jamali; map; Musharraf says 'history has been made'; Vajpayee, 79, offers 'hand of friendship' in hopes of leaving legacy of peace; Musharraf's promise to crack down on militants whom Pakistan has long supported, and who are linked to two recent assassination attempts on him, appears to complete U-turn he made after Sept 11, 2001, when he abandoned Pakistan's support for Taliban in Afghanistan; Pakistan in turn wins long-sought dialogue on Kashmir, where it demands right of self-determination by mostly Muslim population (M)","India and Pakistan agree to restart formal peace talks on all issues, including Kashmir; Pakistan says it will not permit its territory to be used to support terrorism, first such direct assurance to India in more than half century of conflict; ag...","Two years after nearly going to war, India and Pakistan announced Tuesday that they had agreed to restart formal peace talks in February, an extraordinary turn in relations between two countries -- and now nuclear powers -- that have been at odds for more than half a century."
2004-01-10,Hussein Given P.O.W. Status; Access Sought,THE STRUGGLE FOR IRAQ: CAPTIVE; Hussein Given P.O.W. Status; Access Sought,"Defense Dept designates Saddam Hussein as prisoner of war, legal status that sets standards for how he is treated and allows International Committee of Red Cross to see him; information about Hussein has been tightly guarded, although members of Iraqi Governing Council were allowed to confirm his identity; senior US officials say FBI has become increasingly involved in questioning Hussein, signaling that authorities view him as potential defendant in legal proceeding as well as intelligence source; CIA remains in overall control, but FBI involvement reflects CIA reluctance to allow covert officers to take part in interrogations that could force them to appear as court witnesses (M)","Defense Dept designates Saddam Hussein as prisoner of war, legal status that sets standards for how he is treated and allows International Committee of Red Cross to see him; information about Hussein has been tightly guarded, although members of I...",Correction Appended
2004-01-11,Survivor of Somalia and Cancer Dies on Doomed Copter in Iraq,THE STRUGGLE FOR IRAQ: THE FATALITIES; Survivor of Somalia and Cancer Dies on Doomed Copter in Iraq,"Chief Warrant Officer Aaron A Weaver, 32, who survived famous Black Hawk Down attack in Somalia and, more recently, three rounds of surgery for testicular cancer, dies in Iraq in crash of Black Hawk helicopter near Falluja; Weaver, who relatives say insisted on serving in Iraq, dies with eight others while en route to medical checkup; photo; he was awarded Bronze Star in 1994 (M)","Chief Warrant Officer Aaron A Weaver, 32, who survived famous Black Hawk Down attack in Somalia and, more recently, three rounds of surgery for testicular cancer, dies in Iraq in crash of Black Hawk helicopter near Falluja; Weaver, who relatives s...","He survived a famously bloody street fight in Somalia that left 18 of his fellow soldiers dead, and more recently, three rounds of surgery for testicular cancer and resulting complications that left him looking skeletal. Yet relatives said it was typical of Aaron A. Weaver to insist on serving in Iraq, persuading the Army that he was well enough to ship out with the 82nd Airborne Division in October."
2004-01-14,Market Place; S.E.C. HAS FOUND PAYOFFS IN SALES OF MUTUAL FUNDS,Market Place; S.E.C. HAS FOUND PAYOFFS IN SALES OF MUTUAL FUNDS,"SEC investigators find widespread instances of brokers receiving undisclosed payments of cash and other compensation for steering investors toward specific mutual funds; say investors were not informed, as required by law, when funds engaged in one particularly prevalent form of compensation, steering trading of stocks in their portfolios to brokerage houses that would promote funds to their brokerage clients; harm caused to individual investor by most of mutual fund abuses revealed in last four months has been abstract and indirect, but new disclosures suggest that many ordinary investors were misled (M)","SEC investigators find widespread instances of brokers receiving undisclosed payments of cash and other compensation for steering investors toward specific mutual funds; say investors were not informed, as required by law, when funds engaged in on...","Federal officials announced a new front in the investigations into the mutual fund industry on Tuesday, saying they had uncovered widespread instances of brokers receiving undisclosed payments for steering investors toward specific funds."
2004-01-15,FAILING TEACHERS FACE A FASTER AX,FAILING TEACHERS FACE A FASTER AX,"United Federation of Teachers president Randi Weingarten proposes cutting to six months time it takes to remove incompetent teachers from New York City schools, speeding up process that can now drag on for years, address to Assn for a Better New York; also calls for ending so-called rubber rooms, where more than 200 teachers facing charges of malfeasance are sent to languish, some for years, while still receiving full pay; proposes appointment of special master and task force of pro bono lawyers to clear backlog of cases; her public effort to reach out to Bloomberg administration and Schools Chancellor Joel I Klein seems to signal thaw after months of icy relations with city; business leaders, who have donated more than $160 million to administration's ambitious plans to overhaul schools, have raised concerns that constant bickering with union would doom mayor's efforts; Klein offers enthusiastic response to Weinberger's speech, and Mayor Bloomberg also sounds conciliatory note; photo (M)","United Federation of Teachers president Randi Weingarten proposes cutting to six months time it takes to remove incompetent teachers from New York City schools, speeding up process that can now drag on for years, address to Assn for a Better New Y...","The New York City teachers' union proposed yesterday cutting to six months the time it takes to remove incompetent teachers, speeding up a process that can now drag on for years."
2004-01-18,Poll Bolsters Bush on Terrorism But Finds Doubts on Economy,THE 2004 CAMPAIGN: THE POLL; Poll Bolsters Bush on Terrorism But Finds Doubts on Economy,"New York Times/CBS News poll finds Americans support Pres Bush for his handling of war against terrorism but have doubts about his economic and domestic policies; fewer than one in five people said their tax burden was eased by tax cuts, centerpiece of economic program; support Bush gained after capture of Saddam Hussein has largely dissipated; overall approval rating stands at 50 percent, and Bush remains polarizing figure in sharply divided country, with 9 in 10 Republicans, but only 1 of 4 Democrats, approving of his performance; still, Bush retains powerful advantage on national security with members of both parties; graphs compare ratings with other presidents at similar juncture and show responses to specific questions (L)","New York Times/CBS News poll finds Americans support Pres Bush for his handling of war against terrorism but have doubts about his economic and domestic policies; fewer than one in five people said their tax burden was eased by tax cuts, centerpie...","President Bush begins his campaign year with Americans voicing strong support for his handling of the war against terrorism, but many doubting his economic and domestic policies, according to the latest New York Times/CBS News poll."
2004-01-19,"Carter Put It on the Political Map, And Iowa Hasn't Budged Since","THE 2004 CAMPAIGN: THE CAUCUSES; Carter Put It on the Political Map, And Iowa Hasn't Budged Since","Importance of Iowa caucuses has grown since 1976, when little-known former governor Jimmy Carter finished far ahead of everyone else and went on to win White House; unlike 1976, Iowa is now crowded with networks' mobile newsrooms and notable news anchors weighing in on contest; contest in Iowa looms all the larger this year because primary schedule is so compressed: of delegates needed for nomination, more than one-tenth will be allotted by Feb 3, and nearly 60 percent by Mar 2; Carter was last little-known candidate to come out of Iowa and win nomination; since then, Iowa caucuses have served to winnow field; race this year is seen as so close that all major candidates could conceivably survive to fight on; in Iowa, outperforming expectations can be enough of victory to propel candidate forward; chart listing caucus results for Democrats and Republicans since 1972 (M)","Importance of Iowa caucuses has grown since 1976, when little-known former governor Jimmy Carter finished far ahead of everyone else and went on to win White House; unlike 1976, Iowa is now crowded with networks' mobile newsrooms and notable news ...","Exactly 28 years ago Monday, a little-known former governor of Georgia named Jimmy Carter polled just shy of 30 percent support in Iowa's precinct caucuses. He came in second, nine points behind ''uncommitted,'' but the national news media proclaimed him the clear winner of the year's first presidential nominating contest, if only because he had finished so far ahead of everyone else."
2004-01-22,Easing of Internet Regulations Challenges Surveillance Efforts,TECHNOLOGY; Easing of Internet Regulations Challenges Surveillance Efforts,"Federal law enforcement agencies say their ability to monitor terrorists and other criminal suspects electronically is being threatened by easing of Internet rules; officials from Justice Dept, FBI and Drug Enforcement Adm have held series of unpublicized meetings, complaining about Federal Communications Comm's 2002 decision to classify high-speed Internet cable services under looser regulatory regime than phone system; Justice Dept fears deregulation order impedes its ability to enforce wiretapping orders, and it has tried to block FCC from appealing recent federal appeals court decision that strikes down major parts of its deregulatory order; FCC has appealed, and as result some telecommunications carriers have taken position in court proceedings that they do not need to make their networks available to federal agents for court-approved wiretapping; law enforcement officials are also concerned about recent statements by FCC Chmn Michael K Powell that he intends to propose rules placing nascent Internet-based telephone services under looser regulatory regime than traditional phone system (M)","Federal law enforcement agencies say their ability to monitor terrorists and other criminal suspects electronically is being threatened by easing of Internet rules; officials from Justice Dept, FBI and Drug Enforcement Adm have held series of unpu...",The Federal Communications Commission's efforts to reduce regulations over some Internet services have come under intense criticism from officials at law enforcement agencies who say that their ability to monitor terrorists and other criminal suspects electronically is threatened.
2004-01-23,"On TV With His Wife, a Gentler and Softer Dean","THE 2004 CAMPAIGN: THE FORMER GOVERNOR; On TV With His Wife, a Gentler and Softer Dean","Howard Dean and his wife Judith Steinberg Dean appear in their first nationally televised interview in effort to revive his embattled presidential campaign by reassuring public that his emotional outburst after third-place finish in Iowa's caucuses was an anomaly; Diane Sawyer of ABC's Primetime shows clip of Dean's outburst, causing Dean's wife to giggle and Dean to concede he was not 'presidential' at that moment; says he is not 'apologetic'; Dean and his wife explain their respect for each other's careers and emphasize their commitment to their two children; earlier in day, in campaign stops, Dean promotes his background as doctor and governor, in contrast to opponents he sees as 'Washington insiders'; photo (M)",Howard Dean and his wife Judith Steinberg Dean appear in their first nationally televised interview in effort to revive his embattled presidential campaign by reassuring public that his emotional outburst after third-place finish in Iowa's caucuse...,Correction Appended
